No.,Order Date,Current Production Department,Order Status,Last Date Modified,Modified By ID,Sell-to Customer No.,Shipment Date,Amount,Amount Including Tax,Sell-to Customer Name,Salesperson Code,INV,SENT?,COMMENT,#VALUE!,,,Kane Graphical - INV,,,1
SO2300207,2/3/2023,700,Shipped,2/20/2023,AKOHRT,1358,2/16/2023,44.1,44.1,USF FCU,MRK,INV1230108,,Email Invoices To:  BMillich@usffcu.org,,,,,,,
SO2300220,2/7/2023,700,Shipped,2/20/2023,AKOHRT,6345,2/16/2023,33.1,35.66,Wintrust Wealth Management,HSE,INV1230109,,Email Invoices To: marketing@wintrustwealth.com,,,,,,,
SO2300230,2/8/2023,700,Shipped,2/20/2023,AKOHRT,8741,2/17/2023,52.3,52.3,First National Bank,HSE,INV1230110,,Email Invoices To: kcarrow@colerainebank.com,,,,,,,
SO2300231,2/8/2023,700,Shipped,2/20/2023,AKOHRT,5183,2/16/2023,116.13,116.13,Ascend Federal Credit Union,HSE,INV1230111,,Email Invoices To:  AFCUAP@ascendfcu.org,,,,,,,
SO2300232,2/8/2023,700,Shipped,2/20/2023,AKOHRT,5602,2/16/2023,20.1,21.1,Educational Employees CU,HSE,INV1230112,,Email Invoices To:  Accounting@myeecu.org,,,,,,,
SO2300233,2/8/2023,700,Shipped,2/20/2023,AKOHRT,1114,2/16/2023,23.2,23.2,Philadelphia FCU,MRK,INV1230113,,Email Invoices To: ldahling@pfcu.com,,,,,,,
SO2300234,2/8/2023,700,Shipped,2/8/2023,EWONG,9554,2/21/2023,44.1,44.1,First Community Bank of the,HSE,INV1230114,,Email invoices to: shannon.moss@fcbheartland.com,,,,,,,
SO2300235,2/8/2023,700,Shipped,2/20/2023,AKOHRT,5669,2/16/2023,68.1,68.1,DEI Incorporated,HSE,INV1230115,,Email invoice to: KRittmeier@dei-corp.com,,,,,,,
SO2300239,2/9/2023,700,Shipped,2/20/2023,AKOHRT,4934,2/17/2023,56.1,56.1,PeoplesBank,HSE,INV1230116,,Email Invoice To:  PeoplesBank@avidbill.com,,,,,,,
SO2300240,2/9/2023,700,Shipped,2/20/2023,AKOHRT,5398,2/17/2023,32.1,33.42,Co-Op Credit Union,HSE,INV1230117,,Email Invoices To:  hhurst@coopcu.com,,,,,,,
SO2300241,2/9/2023,700,Shipped,2/20/2023,AKOHRT,5065,2/17/2023,62.59,67.72,Lake Forest Bank & Trust,HSE,INV1230118,,Email Invoices To: operry@lakeforestbank.com,,,,,,,
SO2300244,2/10/2023,700,Shipped,2/20/2023,AKOHRT,1414,2/16/2023,96.3,105.32,Mechanics Bank,MRK,,,,,,,,,,
SO2300246,2/13/2023,700,Shipped,2/20/2023,AKOHRT,4895,2/17/2023,156.77,170.51,North Shore Community Bank,HSE,INV1230120,,Email invoice to Kiley at: kpohn@wintrust.com,,,,,,,
SO2300248,2/13/2023,700,Shipped,2/20/2023,AKOHRT,1826,2/20/2023,30.3,30.3,Bippus State Bank,HSE,INV1230121,,Email Invoices to: egerke@bippusbank.com,,,,,,,
SO2300249,2/13/2023,700,Shipped,2/20/2023,AKOHRT,7189,2/16/2023,20.1,20.1,BancFirst,HSE,INV1230122,,Email Invoices To:  Travis.Powers@BancFirst.bank,,,,,,,
